Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Hecht et al (2001),201,,13-Vocabulary ,0.425,0.36,0.6,0.22,0.31,,0.4,,0.4,,,,1,,
Hecht et al (2001),201,,14-EF,,,,,,,,,,,,,,1,
Hecht et al (2001),201,,15-Age,,,,,,,,,,,,,,,
Hecht et al (2001),201,yxj61_3,1-PA,1,,,,,,,,,,,,,,
Hecht et al (2001),201,,2-digitPM,0.345,1,,,,,,,,,,,,,
Hecht et al (2001),201,,3-nondigitPM,0.45,0.66,1,,,,,,,,,,,,
Hecht et al (2001),201,,4-digitRAN,0.23,0.23,0.23,1,,,,,,,,,,,
Hecht et al (2001),201,,5-non-digitRAN,0.3,0.27,0.33,0.87,1,,,,,,,,,,
Hecht et al (2001),201,,6-mathFluency,0.27,0.22,0.32,0.47,0.43,1,,,,,,,,,
Hecht et al (2001),201,,7-mathAccuracy,0.415,0.22,0.4,0.3,0.43,0.57,1,,,,,,,,
Hecht et al (2001),201,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Hecht et al (2001),201,,9-calculation,0.345,0.22,0.36,0.385,0.375,0.57,,,1,,,,,,
Hecht et al (2001),201,,10-WordProblem,,,,,,,,,,1,,,,,
Hecht et al (2001),201,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hecht et al (2001),201,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Hecht et al (2001),201,,13-Vocabulary ,0.5,0.43,0.66,0.26,0.34,0.32,0.43,,0.43,,,,1,,
Hecht et al (2001),201,,14-EF,,,,,,,,,,,,,,1,
Hecht et al (2001),201,,15-Age,,,,,,,,,,,,,,,1
Hecht et al (2001),201,yxj61_4,1-PA,1,,,,,,,,,,,,,,
Hecht et al (2001),201,,2-digitPM,0.38,1,,,,,,,,,,,,,
Hecht et al (2001),201,,3-nondigitPM,0.465,0.65,1,,,,,,,,,,,,
Hecht et al (2001),201,,4-digitRAN,0.335,0.34,0.65,1,,,,,,,,,,,
Hecht et al (2001),201,,5-non-digitRAN,0.41,0.34,0.39,0.85,1,,,,,,,,,,
Hecht et al (2001),201,,6-mathFluency,0.29,0.29,0.34,0.56,0.56,1,,,,,,,,,
Hecht et al (2001),201,,7-mathAccuracy,0.475,0.295,0.355,0.31,0.31,0.56,1,,,,,,,,
Hecht et al (2001),201,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Hecht et al (2001),201,,9-calculation,0.475,0.295,0.355,0.435,0.445,0.56,,,1,,,,,,
Hecht et al (2001),201,,10-WordProblem,,,,,,,,,,1,,,,,
Hecht et al (2001),201,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hecht et al (2001),201,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Hecht et al (2001),201,,13-Vocabulary ,0.37,0.39,0.51,0.13,0.12,0.28,0.45,,0.45,,,,1,,
Hecht et al (2001),201,,14-EF,,,,,,,,,,,,,,1,
Hecht et al (2001),201,,15-Age,,,,,,,,,,,,,,,1
Fuchs et al (2005),272,yxj62,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2005),272,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2005),272,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2005),272,,4-digitRAN,0.37,,,1,,,,,,,,,,,
Fuchs et al (2005),272,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2005),272,,6-mathFluency,,,,,,1,,,,,,,,,
Fuchs et al (2005),272,,7-mathAccuracy,0.375,,,0.215,,,1,,,,,,,,
Fuchs et al (2005),272,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2005),272,,9-calculation,0.36,,,0.24,,,0.48,,1,,,,,,
Fuchs et al (2005),272,,10-WordProblem,0.41,,,0.19,,,0.48,,0.48,1,,,,,
Fuchs et al (2005),272,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2005),272,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Fuchs et al (2005),272,,13-Vocabulary ,0.32,,,0.21,,,0.16,,0.15,,,,1,,
Fuchs et al (2005),272,,14-EF,,,,,,,,,0.17,,,,,1,
Fuchs et al (2005),272,,15-Age,,,,,,,,,,,,,,,
Fuchs et al (2010),312,yxj63,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2010),312,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2010),312,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2010),312,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2010),312,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2010),312,,6-mathFluency,,,,,,1,,,,,,,,,
Fuchs et al (2010),312,,7-mathAccuracy,,,,,,,1,,,,,,,,
Fuchs et al (2010),312,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2010),312,,9-calculation,,,,,,,,,1,,,,,,
Fuchs et al (2010),312,,10-WordProblem,,,,,,,,,,1,,,,,
Fuchs et al (2010),312,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2010),312,,12-nonverbalIQ,,,,,,,0.515,,0.42,0.62,,1,,,
Fuchs et al (2010),312,,13-Vocabulary ,,,,,,,0.49,,0.37,0.61,,0.5,1,,
Fuchs et al (2010),312,,14-EF,,,,,,,,,,,,0.45,0.43,1,
Fuchs et al (2010),312,,15-Age,,,,,,,,,,,,,,,
Hannula et al (2010),139,yxj64,1-PA,1,,,,,,,,,,,,,,
Hannula et al (2010),139,,2-digitPM,,1,,,,,,,,,,,,,
Hannula et al (2010),139,,3-nondigitPM,,,1,,,,,,,,,,,,
Hannula et al (2010),139,,4-digitRAN,,,,1,,,,,,,,,,,
Hannula et al (2010),139,,5-non-digitRAN,0.37,,,,1,,,,,,,,,,
Hannula et al (2010),139,,6-mathFluency,,,,,,1,,,,,,,,,
Hannula et al (2010),139,,7-mathAccuracy,0.37,,,,0.25,,1,,,,,,,,
Hannula et al (2010),139,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Hannula et al (2010),139,,9-calculation,0.37,,,,0.25,,,,1,,,,,,
Hannula et al (2010),139,,10-WordProblem,,,,,,,,,,1,,,,,
Hannula et al (2010),139,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hannula et al (2010),139,,12-nonverbalIQ,0.35,,,,,,,,0.36,,,1,,,
Hannula et al (2010),139,,13-Vocabulary ,,,,,,,,,,,,,1,,
Hannula et al (2010),139,,14-EF,,,,,,,,,,,,,,1,
Hannula et al (2010),139,,15-Age,,,,,,,,,,,,,,,
Cowan et al (2011),259,yxj65,1-PA,1,,,,,,,,,,,,,,
Cowan et al (2011),259,,2-digitPM,,1,,,,,,,,,,,,,
Cowan et al (2011),259,,3-nondigitPM,,,1,,,,,,,,,,,,
Cowan et al (2011),259,,4-digitRAN,,,,1,,,,,,,,,,,
Cowan et al (2011),259,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cowan et al (2011),259,,6-mathFluency,,,,,,1,,,,,,,,,
Cowan et al (2011),259,,7-mathAccuracy,,,,,,,1,,,,,,,,
Cowan et al (2011),259,,8-basicNumberKnowledge,,,,,,,0.43,1,,,,,,,
Cowan et al (2011),259,,9-calculation,,,,,,,0.45,0.55,1,,,,,,
Cowan et al (2011),259,,10-WordProblem,,,,,,,,,,1,,,,,
Cowan et al (2011),259,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cowan et al (2011),259,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Cowan et al (2011),259,,13-Vocabulary ,,,,,,,0.42,0.42,0.58,,,,1,,
Cowan et al (2011),259,,14-EF,,,,,,,,,,,,,0.45,1,
Cowan et al (2011),259,,15-Age,,,,,,,,,,,,,,,
Fuchs et al (2012),279,yxj66,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2012),279,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2012),279,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2012),279,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2012),279,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2012),279,,6-mathFluency,,,,,,1,,,,,,,,,
Fuchs et al (2012),279,,7-mathAccuracy,0.3525,,,,,,1,,,,,,,,
Fuchs et al (2012),279,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2012),279,,9-calculation,0.33,,,,,,0.48,,1,,,,,,
Fuchs et al (2012),279,,10-WordProblem,0.375,,,,,,0.445,,0.445,1,,,,,
Fuchs et al (2012),279,,11-VerbalIQ,,,,,,,,,,,1,,,,
Fuchs et al (2012),279,,12-nonverbalIQ,0.32,,,,,,0.3225,,0.27,0.375,,1,,,
Fuchs et al (2012),279,,13-Vocabulary ,0.27,,,,,,0.41,,0.265,0.555,,0.23,1,,
Fuchs et al (2012),279,,14-EF,,,,,,,,,,,,,,1,
Fuchs et al (2012),279,,15-Age,,,,,,,,,,,,,,,
Georgiou et al (2013),72,yxj67,1-PA,1,,,,,,,,,,,,,,
Georgiou et al (2013),72,,2-digitPM,,1,,,,,,,,,,,,,
Georgiou et al (2013),72,,3-nondigitPM,0.51,,1,,,,,,,,,,,,
Georgiou et al (2013),72,,4-digitRAN,,,,1,,,,,,,,,,,
Georgiou et al (2013),72,,5-non-digitRAN,0.175,,,,1,,,,,,,,,,
Georgiou et al (2013),72,,6-mathFluency,0.36,,0.32,,0.3,1,,,,,,,,,
Georgiou et al (2013),72,,7-mathAccuracy,0.43,,0.35,,0.29,0.575,1,,,,,,,,
Georgiou et al (2013),72,,8-basicNumberKnowledge,0.48,,0.35,,0.29,0.575,0.79,1,,,,,,,
Georgiou et al (2013),72,,9-calculation,0.36,,0.32,,0.3,,0.575,0.575,1,,,,,,
Georgiou et al (2013),72,,10-WordProblem,,,,,,,,,,1,,,,,
Georgiou et al (2013),72,,11-VerbalIQ,,,,,,,,,,,1,,,,
Georgiou et al (2013),72,,12-nonverbalIQ,0.44,,0.33,,0.1515,0.4,0.405,0.37,0.4,,,1,,,
Georgiou et al (2013),72,,13-Vocabulary ,0.45,,0.35,,0.225,0.39,0.346,0.325,0.39,,,0.33,1,,
Georgiou et al (2013),72,,14-EF,0.29,,0.29,,0.2325,0.24,0.405,0.405,0.24,,,0.3,0.385,1,
Georgiou et al (2013),72,,15-Age,,,,,,,,,,,,,,,
Cowan et al (2014),258,yxj68,1-PA,1,,,,,,,,,,,,,,
Cowan et al (2014),258,,2-digitPM,,1,,,,,,,,,,,,,
Cowan et al (2014),258,,3-nondigitPM,,,1,,,,,,,,,,,,
Cowan et al (2014),258,,4-digitRAN,,,,1,,,,,,,,,,,
Cowan et al (2014),258,,5-non-digitRAN,,,0.14,,1,,,,,,,,,,
Cowan et al (2014),258,,6-mathFluency,,,0.27,,0.32,1,,,,,,,,,
Cowan et al (2014),258,,7-mathAccuracy,,,0.375,,0.21,0.68,1,,,,,,,,
Cowan et al (2014),258,,8-basicNumberKnowledge,,,0.16,,0.32,0.4,0.3175,1,,,,,,,
Cowan et al (2014),258,,9-calculation,,,0.35,,0.21,0.64,0.64,0.285,1,,,,,,
Cowan et al (2014),258,,10-WordProblem,,,0.4,,0.21,0.72,0.69,0.35,0.69,1,,,,,
Cowan et al (2014),258,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cowan et al (2014),258,,12-nonverbalIQ,,,0.31,,0.24,0.35,0.555,0.215,0.44,,,1,,,
Cowan et al (2014),258,,13-Vocabulary ,,,0.45,,0.03,0.38,0.54,0.18,0.265,,,0.55,1,,
Cowan et al (2014),258,,14-EF,,,,,,,,,,,,,,1,
Cowan et al (2014),258,,15-Age,,,,,,,,,,,,,,,
Foster et al (2015),208,yxj69,1-PA,1,,,,,,,,,,,,,,
Foster et al (2015),208,,2-digitPM,,1,,,,,,,,,,,,,
Foster et al (2015),208,,3-nondigitPM,0.22,,1,,,,,,,,,,,,
Foster et al (2015),208,,4-digitRAN,,,,1,,,,,,,,,,,
Foster et al (2015),208,,5-non-digitRAN,0.29,,0.11,,1,,,,,,,,,,
Foster et al (2015),208,,6-mathFluency,,,,,,1,,,,,,,,,
Foster et al (2015),208,,7-mathAccuracy,0.5,,0.163,,0.31,,1,,,,,,,,
Foster et al (2015),208,,8-basicNumberKnowledge,0.5,,0.1,,0.216,,0.7,1,,,,,,,
Foster et al (2015),208,,9-calculation,,,,,,,,,1,,,,,,
Foster et al (2015),208,,10-WordProblem,0.51,,0.29,,0.28,,0.585,0.585,,1,,,,,
Foster et al (2015),208,,11-VerbalIQ,,,,,,,,,,,1,,,,
Foster et al (2015),208,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Foster et al (2015),208,,13-Vocabulary ,0.51,,0.22,,0.15,,0.1,0.1,,0.29,,,1,,
Foster et al (2015),208,,14-EF,,,,,,,,,,,,,,1,
Foster et al (2015),208,,15-Age,,,,,,,,,,,,,,,
Cirino et al (2018),193,yxj70,1-PA,1,,,,,,,,,,,,,,
Cirino et al (2018),193,,2-digitPM,,1,,,,,,,,,,,,,
Cirino et al (2018),193,,3-nondigitPM,,,1,,,,,,,,,,,,
Cirino et al (2018),193,,4-digitRAN,,,,1,,,,,,,,,,,
Cirino et al (2018),193,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cirino et al (2018),193,,6-mathFluency,0.79,,,,,1,,,,,,,,,
Cirino et al (2018),193,,7-mathAccuracy,0.674,,,,,0.595,1,,,,,,,,
Cirino et al (2018),193,,8-basicNumberKnowledge,0.49,,,,,0.475,0.4775,1,,,,,,,
Cirino et al (2018),193,,9-calculation,0.81,,,,,0.79,0.49,0.465,1,,,,,,
Cirino et al (2018),193,,10-WordProblem,0.63,,,,,0.72,0.52,0.54,0.79,1,,,,,
Cirino et al (2018),193,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cirino et al (2018),193,,12-nonverbalIQ,0.47,,,,,0.46,0.38,0.375,0.47,0.56,,1,,,
Cirino et al (2018),193,,13-Vocabulary ,,,,,,0.38,0.265,0.41,0.43,0.59,,0.31,1,,
Cirino et al (2018),193,,14-EF,,,,,,,,,,,,,,1,
Cirino et al (2018),193,,15-Age,,,,,,,,,,,,,,,
Hart（2009）,168,yxj71,1-PA,1,,,,,,,,,,,,,,
Hart（2009）,168,,2-digitPM,,1,,,,,,,,,,,,,
Hart（2009）,168,,3-nondigitPM,,,1,,,,,,,,,,,,
Hart（2009）,168,,4-digitRAN,,,,1,,,,,,,,,,,
Hart（2009）,168,,5-non-digitRAN,,,,,1,,,,,,,,,,
Hart（2009）,168,,6-mathFluency,,,,,,1,,,,,,,,,
Hart（2009）,168,,7-mathAccuracy,,,,,,,1,,,,,,,,
Hart（2009）,168,,8-basicNumberKnowledge,,,,,,0.4175,0.5,1,,,,,,,
Hart（2009）,168,,9-calculation,,,,,,0.4975,0.49,0.5325,1,,,,,,
Hart（2009）,168,,10-WordProblem,,,,,,0.585,0.55,0.605,0.51,1,,,,,
Hart（2009）,168,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hart（2009）,168,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Hart（2009）,168,,13-Vocabulary ,,,,,,,,,,,,,1,,
Hart（2009）,168,,14-EF,,,,,,,,,,,,,,1,
Hart（2009）,168,,15-Age,,,,,,,,,,,,,,,
Hornung(2014),165,yxj72,1-PA,1,,,,,,,,,,,,,,
Hornung(2014),165,,2-digitPM,,1,,,,,,,,,,,,,
Hornung(2014),165,,3-nondigitPM,,,1,,,,,,,,,,,,
Hornung(2014),165,,4-digitRAN,,,,1,,,,,,,,,,,
Hornung(2014),165,,5-non-digitRAN,,,,,1,,,,,,,,,,
Hornung(2014),165,,6-mathFluency,,,,,,1,,,,,,,,,
Hornung(2014),165,,7-mathAccuracy,,,,,,,1,,,,,,,,
Hornung(2014),165,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Hornung(2014),165,,9-calculation,,,,,,,,0.86,1,,,,,,
Hornung(2014),165,,10-WordProblem,,,,,,,,,,1,,,,,
Hornung(2014),165,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hornung(2014),165,,12-nonverbalIQ,,,,,,,0.675,0.66,0.69,,,1,,,
Hornung(2014),165,,13-Vocabulary ,,,,,,,,,,,,,1,,
Hornung(2014),165,,14-EF,,,,,,,0.58,0.79,0.65,,,0.6,0.55,1,
Hornung(2014),165,,15-Age,,,,,,,,,,,,,,,
Kleemans(2012),160,yxj73,1-PA,1,,,,,,,,,,,,,,
Kleemans(2012),160,,2-digitPM,,1,,,,,,,,,,,,,
Kleemans(2012),160,,3-nondigitPM,0.604,,1,,,,,,,,,,,,
Kleemans(2012),160,,4-digitRAN,,,,1,,,,,,,,,,,
Kleemans(2012),160,,5-non-digitRAN,0.229,,0.191,,1,,,,,,,,,,
Kleemans(2012),160,,6-mathFluency,0.5335,,0.48,,0.217,1,,,,,,,,,
Kleemans(2012),160,,7-mathAccuracy,,,,,,,1,,,,,,,,
Kleemans(2012),160,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Kleemans(2012),160,,9-calculation,0.5335,,0.48,,0.217,,,,1,,,,,,
Kleemans(2012),160,,10-WordProblem,,,,,,,,,,1,,,,,
Kleemans(2012),160,,11-VerbalIQ,,,,,,,,,,,1,,,,
Kleemans(2012),160,,12-nonverbalIQ,0.143,,0.171,,0.094,0.287,,,0.287,,,1,,,
Kleemans(2012),160,,13-Vocabulary ,,,,,,,,,,,,,1,,
Kleemans(2012),160,,14-EF,0.547,,0.532,,0.167,0.4365,,,0.4365,,,0.189,,1,
Kleemans(2012),160,,15-Age,,,,,,,,,,,,,,,
Koponen(2007),178,yxj74,1-PA,1,,,,,,,,,,,,,,
Koponen(2007),178,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2007),178,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2007),178,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2007),178,,5-non-digitRAN,0.16,,,,1,,,,,,,,,,
Koponen(2007),178,,6-mathFluency,0.42,,,,0.46,1,,,,,,,,,
Koponen(2007),178,,7-mathAccuracy,0.52,,,,0.437,,1,,,,,,,,
Koponen(2007),178,,8-basicNumberKnowledge,0.485,,,,0.29,0.465,0.49,1,,,,,,,
Koponen(2007),178,,9-calculation,0.38,,,,0.25,0.52,0.4775,0.4775,1,,,,,,
Koponen(2007),178,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2007),178,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2007),178,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2007),178,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2007),178,,14-EF,,,,,,,,,,,,,,1,
Koponen(2007),178,,15-Age,,,,,,,,,,,,,,,
Koponen(2019),200,yxj75,1-PA,1,,,,,,,,,,,,,,
Koponen(2019),200,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2019),200,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2019),200,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2019),200,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2019),200,,6-mathFluency,0.52,,,0.48,,1,,,,,,,,,
Koponen(2019),200,,7-mathAccuracy,,,,,,,1,,,,,,,,
Koponen(2019),200,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Koponen(2019),200,,9-calculation,0.52,,,0.48,,,,0.59,1,,,,,,
Koponen(2019),200,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2019),200,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2019),200,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2019),200,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2019),200,,14-EF,0.28,,,0.29,,0.33,,0.25,0.33,,,,,1,
Koponen(2019),200,,15-Age,-0.04,,,-0.01,,-0.02,,0.0267,-0.02,,,,,0.04,
Koponen(2013),191,yxj76_1,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),191,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),191,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),191,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),191,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),191,,6-mathFluency,,,,,0.37,1,,,,,,,,,
Koponen(2013),191,,7-mathAccuracy,0.305,0.26,,0.36,,,1,,,,,,,,
Koponen(2013),191,,8-basicNumberKnowledge,0.305,0.26,,0.36,,,,1,,,,,,,
Koponen(2013),191,,9-calculation,,,,,0.37,,,0.5,1,,,,,,
Koponen(2013),191,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),191,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),191,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),191,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),191,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),191,,15-Age,,,,,,,,,,,,,,,
Koponen(2013),180,yxj76_2,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),180,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),180,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),180,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),180,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),180,,6-mathFluency,,,,,0.42,1,,,,,,,,,
Koponen(2013),180,,7-mathAccuracy,0.305,0.24,,0.31,,,1,,,,,,,,
Koponen(2013),180,,8-basicNumberKnowledge,0.305,0.24,,0.31,,,,1,,,,,,,
Koponen(2013),180,,9-calculation,,,,,0.42,,,0.55,1,,,,,,
Koponen(2013),180,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),180,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),180,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),180,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),180,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),180,,15-Age,,,,,,,,,,,,,,,
Koponen(2013),195,yxj76_3,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),195,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),195,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),195,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),195,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),195,,6-mathFluency,0.31,0.32,,0.36,0.34,1,,,,,,,,,
Koponen(2013),195,,7-mathAccuracy,,,,,,,1,,,,,,,,
Koponen(2013),195,,8-basicNumberKnowledge,0.31,0.32,,0.36,,,,1,,,,,,,
Koponen(2013),195,,9-calculation,,,,,0.34,,,0.53,1,,,,,,
Koponen(2013),195,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),195,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),195,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),195,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),195,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),195,,15-Age,,,,,,,,,,,,,,,
Koponen(2013),198,yxj76_4,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),198,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),198,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),198,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),198,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),198,,6-mathFluency,0.216,0.24,,0.33,0.29,1,,,,,,,,,
Koponen(2013),198,,7-mathAccuracy,,,,,,,,,,,,,,,
Koponen(2013),198,,8-basicNumberKnowledge,0.216,0.24,,0.33,,,,1,,,,,,,
Koponen(2013),198,,9-calculation,,,,,0.29,,,0.52,1,,,,,,
Koponen(2013),198,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),198,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),198,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),198,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),198,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),198,,15-Age,,,,,,,,,,,,,,,
Koponen(2013),153,yxj76_5,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),153,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),153,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),153,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),153,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),153,,6-mathFluency,,,,0.36,0.29,1,,,,,,,,,
Koponen(2013),153,,7-mathAccuracy,,,,0.55,,,1,,,,,,,,
Koponen(2013),153,,8-basicNumberKnowledge,,,,0.55,,,,1,,,,,,,
Koponen(2013),153,,9-calculation,,,,0.36,0.29,,,0.51,1,,,,,,
Koponen(2013),153,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),153,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),153,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),153,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),153,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),153,,15-Age,,,,,,,,,,,,,,,
Koponen(2013),47,yxj76_6,1-PA,1,,,,,,,,,,,,,,
Koponen(2013),47,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2013),47,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2013),47,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2013),47,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2013),47,,6-mathFluency,,,,0.26,0.29,1,,,,,,,,,
Koponen(2013),47,,7-mathAccuracy,,,,0.36,,,1,,,,,,,,
Koponen(2013),47,,8-basicNumberKnowledge,,,,0.36,,,,1,,,,,,,
Koponen(2013),47,,9-calculation,,,,0.26,0.29,,,0.49,1,,,,,,
Koponen(2013),47,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2013),47,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2013),47,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2013),47,,13-Vocabulary ,,,,,,,,,,,,,1,,
Koponen(2013),47,,14-EF,,,,,,,,,,,,,,1,
Koponen(2013),47,,15-Age,,,,,,,,,,,,,,,
Koponen(2016),364,yxj77_1,1-PA,1,,,,,,,,,,,,,,
Koponen(2016),364,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2016),364,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2016),364,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2016),364,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2016),364,,6-mathFluency,0.14,0.15,,0.31,,1,,,,,,,,,
Koponen(2016),364,,7-mathAccuracy,,,,,,,1,,,,,,,,
Koponen(2016),364,,8-basicNumberKnowledge,,,,,,,0.32,1,,,,,,,
Koponen(2016),364,,9-calculation,0.14,0.15,,0.31,,,,0.32,1,,,,,,
Koponen(2016),364,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2016),364,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2016),364,,12-nonverbalIQ,,,,,,,,,,,,1,,,
